study,rep,subject,sex,date,session,pair,small_num,large_num,large_side,small_birds,large_birds,choice,choose_larger
Food,1,Uno,Female,2021-03-17T00:00:00Z,6,4-6,4,6,L,NA,NA,R,0
Food,1,Uno,Female,2021-03-19T00:00:00Z,4,2-5,2,5,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-19T00:00:00Z,4,3-6,3,6,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-19T00:00:00Z,4,5-6,5,6,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-19T00:00:00Z,4,2-4,2,4,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-19T00:00:00Z,4,1-6,1,6,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-22T00:00:00Z,9,4-6,4,6,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-22T00:00:00Z,9,1-4,1,4,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-22T00:00:00Z,9,5-6,5,6,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-22T00:00:00Z,9,1-2,1,2,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-23T00:00:00Z,10,1-5,1,5,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-23T00:00:00Z,10,1-3,1,3,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-23T00:00:00Z,10,3-6,3,6,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-23T00:00:00Z,10,2-5,2,5,R,NA,NA,R,1
Food,1,Uno,Female,2021-03-23T00:00:00Z,10,2-6,2,6,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-24T00:00:00Z,11,4-5,4,5,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-24T00:00:00Z,11,3-5,3,5,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-24T00:00:00Z,11,3-4,3,4,R,NA,NA,L,0
Food,1,Uno,Female,2021-03-25T00:00:00Z,12,2-3,2,3,L,NA,NA,L,1
Food,1,Uno,Female,2021-03-25T00:00:00Z,12,2-4,2,4,L,NA,NA,L,1
